176,945,Barabanki,176,Bara Banki,Barabanki,7,Barabanki,"[""Barabanki""]",93200000,93200000,93200000,2,1,1,1,1,2,8,1,
152,921,Shahjahanpur,152,Shahjahanpur,Shahjahanpur,8,Shahjahanpur,"[""Shahjahanpur""]",212900000,212900000,212900000,1,1,1,2,1,2,8,1,
398,2129,Koraput,398,Koraput,Koraput,7,Koraput,"[""Koraput""]",280100000,280100000,280100000,2,1,1,1,1,2,8,1,
384,2115,Angul,384,Anugul,Anugul,7,Angul,"[""Angul""]",295400000,295400000,295400000,2,1,1,1,2,1,8,1,
462,2345,Sidhi,462,Sidhi,Sidhi,8,Sidhi,"[""Sidhi""]",53500000,1061000000,1061000000,1,1,2,1,1,2,8,1,Singrauli
235,1033,Aurangabad,235,Aurangabad,Aurangabad,13,Aurangabad,"[""Aurangabad""]",1335900000,1335900000,1335900000,1,1,1,2,1,2,8,1,
393,2124,Balangir,393,Balangir,Balangir,7,,,,,0,2,1,1,1,2,2,9,1,
231,1029,Bhojpur,231,Bhojpur,Bhojpur,8,,,,,0,1,2,1,2,1,2,9,1,
299,1707,West Jaintia Hills,299,Jaintia Hills,Jaintia Hills,8,,,,,0,2,1,2,1,2,1,9,1,
238,1036,Jamui,238,Jamui,Jamui,8,Jamui,"[""Jamui""]",0,0,0,2,1,1,2,1,2,9,1,
405,2206,Janjgir-Champa,405,Janjgir - Champa,Janjgir - Champa,9,,,,,0,1,1,1,1,3,2,9,1,
407,2208,Kawardha,407,kabir dham,kabir dham,9,,,,,0,1,1,1,1,3,2,9,1,
160,929,Kannauj,160,Kannauj,Kannauj,8,,,,,0,2,1,1,2,1,2,9,1,
375,2106,Kendujhar,375,Kendujhar,Kendujhar,7,,,,,0,2,1,1,1,2,2,9,1,
207,1005,Madhubani,207,Madhubani,Madhubani,9,Madhubani,"[""Madhubani""]",0,0,0,1,1,2,2,1,2,9,1,
204,1002,Purvi Champaran,204,Purba Champaran,Purba Champaran,8,,,,,0,2,1,1,2,1,2,9,1,
442,2325,Rajgarh,442,Rajgarh,Rajgarh,8,,,,,0,2,1,1,1,2,2,9,1,
297,1705,Ri-Bhoi,297,Ribhoi,Ri Bhoi,8,,,,,0,2,2,1,1,2,1,9,1,
205,1003,Sheohar,205,Sheohar,Sheohar,8,,,,,0,2,1,1,2,1,2,9,1,
