census_code,id,dist_name,id(ours),dist_name(ors),,,,seperated from
567,2913,Davanagere,567,Davanagere,,Davanagere,2,
60,505,Dehradun,60,Dehradun,Dehradun,Dehradun,105,
93,705,Delhi,93,east delhi,East Delhi,Delhi,6,
350,2104,Deogarh,350,Deoghar,Deoghar,Deoghar,2,
190,959,Deoria,190,Deoria,,Deoria,0,
437,2320,Dewas,437,Dewas,Dewas,Dewas,15,
291,1603,Dhalai,291,Dhalai,,Dhalai,0,
412,2213,Dhamtari,412,Dhamtari ,,Dhamtari,0,
354,2009,Dhanbad,354,Dhanbad,Dhanbad,Dhanbad,27,
438,2321,Dhar,438,Dhar,Dhar,Dhar,45,
630,3329,Dharmapuri,630,Dharmapuri,Dharmapuri,Dharmapuri,89,Krishnagiri
562,2908,Dharwad,562,Dharwad,Dharwad,Dharwad,25,
106,808,Dhaulpur,106,Dhaulpur,Dhaulpur,Dhaulpur,0,
308,1809,Dhemaji,308,Dhemaji,Dhemaji,Dhemaji,0,
383,2114,Dhenkanal,383,Dhenkanal,Dhenkanal,Dhenkanal,274,
301,1802,Dhubri,301,Dhubri,Dhubri,Dhubri,0,
498,2702,Dhule,498,Dhule,Dhule,Dhule,14,
257,1213,Dibang Valley,257,Dibang Valley,Dibang Valley,Dibang Valley,0,Lower Dibang Valley
310,1811,Dibrugarh,310,Dibrugarh,Dibrugarh,Dibrugarh,6,
315,1816,Dima Hasao,315,Dima Hasao,,Dima Hasao,0,
265,1305,Dimapur,265,Dimapur ,Dimapur,Dimapur,0,
612,3311,Dindigul,612,Dindigul,Dindigul,Dindigul,16,
453,2336,Dindori,453,Dindori ,Dindori,Dindori,0,
494,2501,Diu,494,Diu,,Diu,0,
16,116,Doda,16,Doda,Doda,Doda,0,"Ramban, Kishtwar"
362,2017,Dumka,362,Dumka,Dumka,Dumka,0,Jamtara
124,826,Dungarpur,124,Dungarpur ,Dungarpur,Dungarpur,0,
409,2210,Durg,409,Durg,Durg,Durg,26,
294,1702,East Garo Hills,294,East Garo Hills,,East Garo Hills,2,
545,3704,East Godavari,545,East Godavari,East Godavari,East Godavari,715,
247,1203,East Kameng,247,East Kameng,East Kameng,East Kameng,0,
298,1706,East Khasi Hills,298,East Khasi Hills,East Khasi Hills,East Khasi Hills,0,
251,1207,East Siang,251,East Siang,,East Siang,0,
357,2012,East Singhbhum,357,East Singhbhum,,East Singhbhum,73,
595,3208,Ernakulam,595,Ernakulam,Ernakulam,Ernakulam,34,
610,3309,Erode,610,Erode,Erode,Erode,40,
201,970,Etah,201,Etah,Etah,Etah,1,Kanshiram Nagar
161,930,Etawah,161,Etawah,,Etawah,0,
177,946,Faizabad,177,Faizabad,Faizabad,Faizabad,0,
88,620,Faridabad,88,Faridabad,Faridabad,Faridabad,196,Palwal 
45,311,Faridkot,45,Faridkot,,Faridkot,0,
159,928,Farrukhabad,159,Farrukhabad,,Farrukhabad,0,
78,610,Fatehabad,78,Fatehabad,,Fatehabad,0,
40,306,Fatehgarh Sahib,40,Fatehgarh Sahib,,Fatehgarh Sahib,2,
172,941,Fatehpur,172,Fatehpur,,Fatehpur,3,
43,309,Ferozepur,43,Firozpur,Ferozepur,Ferozepur,14,
147,916,Firozabad,147,Firozabad,Firozabad,Firozabad,0,
561,2907,Gadag,561,Gadag,Gadag,Gadag,5,
508,2712,Gadchiroli,508,Gadchiroli,Gadchiroli,Gadchiroli,5,
389,2120,Gajapati,389,Gajapati,,Gajapati,0,
473,2406,Gandhinagar,473,Gandhinagar,Gandhinagar,Gandhinagar,90,
388,2119,Ganjam,388,Ganjam,Ganjam,Ganjam,10,
346,2001,Garhwa,346,Garhwa ,,Garhwa,0,
141,910,Gautam Buddh Nagar,141,Gautam Buddha Nagar,Gautam Buddh Nagar,Gautam Buddh Nagar,241,
236,1034,Gaya,236,Gaya,Gaya,Gaya,3,
140,909,Ghaziabad,140,Ghaziabad,Ghaziabad,Ghaziabad,135,Hapur
195,964,Ghazipur,195,Ghazipur,Ghazipur,Ghazipur,0,
349,2004,Giridih,349,Giridih,Giridih,Giridih,0,
302,1803,Goalpara,302,Goalpara,Goalpara,Goalpara,1,
351,2006,Godda,351,Godda,Godda,Godda,2,
313,1814,Golaghat,313,Golaghat,Golaghat,Golaghat,3,
183,952,Gonda,183,Gonda,Gonda,Gonda,2,
507,2711,Gondia,507,Gondiya,Gondia,Gondia,0,
217,1015,Gopalganj,217,Gopalganj,,Gopalganj,0,
188,957,Gorakhpur,188,Gorakhpur,Gorakhpur,Gorakhpur,4,
579,2925,Gulbarga,579,Gulbarga,Gulbarga,Gulbarga,13,Yadgir
