census_code,id,dist_name,id(ours),dist_name(ors),ASSET_2019,BF_2019,CHH_2019,FC_2019,MSL_2019,MSW_2019,Aggregate_2019,ADI_Level,seperated from
205,1003,Sheohar,205,Sheohar,2,1,1,2,1,2,9,1,
206,1004,Sitamarhi,206,Sitamarhi,2,1,1,2,1,2,9,1,
207,1005,Madhubani,207,Madhubani,1,1,2,2,1,2,9,1,
208,1006,Supaul,208,Supaul,2,1,1,2,1,2,9,1,
209,1007,Araria,209,Araria,1,1,1,2,1,2,8,1,
210,1008,Kishanganj,210,Kishanganj,1,1,1,2,1,2,8,1,
211,1009,Purnia,211,Purnia,1,1,1,2,1,2,8,1,
212,1010,Katihar,212,Katihar,1,1,1,2,1,2,8,1,
213,1011,Madhepura,213,Madhepura,1,1,1,2,1,2,8,1,
214,1012,Saharsa,214,Saharsa,1,1,1,2,1,2,8,1,
215,1013,Darbhanga,215,Darbhanga,1,1,1,2,1,2,8,1,
216,1014,Muzaffarpur,216,Muzaffarpur,1,1,1,2,1,2,8,1,
217,1015,Gopalganj,217,Gopalganj,3,1,1,2,1,2,10,1,
218,1016,Siwan,218,Siwan,3,2,2,2,2,2,13,2,
219,1017,Saran,219,Saran,2,1,1,2,1,2,9,1,
220,1018,Vaishali,220,Vaishali,2,1,1,2,1,2,9,1,
221,1019,Samastipur,221,Samastipur,1,1,1,2,1,2,8,1,
222,1020,Begusarai,222,Begusarai,1,1,1,2,1,2,8,1,
223,1021,Khagaria,223,Khagaria,1,1,1,2,1,2,8,1,
224,1022,Bhagalpur,224,Bhagalpur,1,1,1,2,1,2,8,1,
225,1023,Banka,225,Banka,1,1,1,2,1,2,8,1,
226,1024,Munger,226,Munger,2,1,1,2,2,2,10,1,
227,1025,Lakhisarai,227,Lakhisarai,1,1,1,2,1,2,8,1,
228,1026,Sheikhpura,228,Sheikhpura,3,1,1,2,1,2,10,1,
229,1027,Nalanda,229,Nalanda,1,1,1,2,1,2,8,1,
230,1028,Patna,230,Patna,3,2,2,2,3,2,14,2,
231,1029,Bhojpur,231,Bhojpur,1,2,1,2,1,2,9,1,
232,1030,Buxar,232,Buxar,2,2,1,2,2,2,11,2,
233,1031,Kaimur,233,Kaimur (Bhabua),1,1,1,2,1,2,8,1,
234,1032,Rohtas,234,Rohtas,3,1,1,2,1,2,10,1,
235,1033,Aurangabad,235,Aurangabad,1,1,1,2,1,2,8,1,
236,1034,Gaya,236,Gaya,1,1,1,2,1,2,8,1,
237,1035,Nawada,237,Nawada,1,1,1,1,1,2,7,1,
238,1036,Jamui,238,Jamui,2,1,1,2,1,2,9,1,
239,1037,Jehanabad,239,Jehanabad ,1,1,1,2,1,2,8,1,
241,1038,Arwal,240,Arwal,3,3,3,1,3,3,16,3,
242,1101,North Sikkim,241,North  District,2,3,2,1,3,3,14,2,
243,1102,West Sikkim,242,West District,3,3,3,3,3,3,18,3,
244,1103,South Sikkim,243,South District,3,3,3,3,3,3,18,3,
245,1201,Tawang,245,Tawang,2,2,3,1,3,3,14,2,
246,1202,West Kameng,246,West Kameng,3,2,2,1,3,3,14,2,
247,1203,East Kameng,247,East Kameng,2,1,1,1,3,3,11,2,
248,1204,Papum Pare,248,Papum Pare,3,3,3,3,3,3,18,3,
249,1205,Upper Subansiri,249,Upper Subansiri,2,1,1,1,3,3,11,2,
250,1206,West Siang,250,West Siang,3,2,3,1,3,3,15,3,
251,1207,East Siang,251,East Siang,3,2,2,1,3,3,14,2,
252,1208,Upper Siang,252,Upper Siang,2,1,3,1,3,3,13,2,
253,1209,Changlang,253,Changlang,3,2,2,1,3,3,14,2,
254,1210,Tirap,254,Tirap,2,2,1,1,3,3,12,2,
255,1211,Lower Subansiri,255,Lower Subansiri,2,1,3,1,3,3,13,2,
257,1213,Dibang Valley,257,Dibang Valley,3,2,3,1,3,3,15,3,Lower Dibang Valley
261,1301,Mon,261,Mon,1,2,1,1,1,1,7,1,
262,1302,Mokokchung,262,Mokokchung,3,3,3,3,3,1,16,3,
263,1303,Zunheboto,263,Zunheboto,3,2,3,1,3,3,15,3,
264,1304,Wokha,264,Wokha,3,2,3,1,3,1,13,2,
265,1305,Dimapur,265,Dimapur ,3,3,3,3,3,1,16,3,
266,1306,Phek,266,Phek,3,2,2,1,3,3,14,2,
267,1307,Tuensang,267,Tuensang,1,2,1,1,2,3,10,1,"Longleng, Kiphire"
270,1310,Kohima,270,Kohima,3,3,3,3,3,1,16,3,Peren
272,1401,Senapati,272,Senapati,1,2,1,1,3,1,9,1,
273,1402,Tamenglong,273,Tamenglong ,1,2,1,1,2,2,9,1,
274,1403,Churachandpur,274,Churachandpur,2,2,2,1,3,1,11,2,
275,1404,Bishnupur,275,Bishnupur,3,2,3,3,3,1,15,3,
276,1405,Thoubal,276,Thoubal,3,2,3,1,3,1,13,2,
277,1406,Imphal West,277,Imphal West,3,3,3,3,3,3,18,3,
278,1407,Imphal East,278,Imphal East,3,3,3,3,3,1,16,3,
279,1408,Ukhrul,279,Ukhrul,2,2,1,1,3,1,10,1,
280,1409,Chandel,280,Chandel,3,2,1,1,2,1,10,1,
281,1501,Mamit,281,Mamit,3,2,2,1,3,1,12,2,
282,1502,Kolasib,282,Kolasib,3,3,3,3,3,3,18,3,
283,1503,Aizawl,283,Aizawl,3,3,3,3,3,3,18,3,
284,1504,Champhai,284,Champhai,3,2,2,1,3,3,14,2,
285,1505,Serchhip,285,Serchhip,3,3,2,1,3,3,15,3,
286,1506,Lunglei,286,Lunglei,3,2,2,1,3,1,12,2,
287,1507,Lawngtlai,287,Lawngtlai,2,2,2,1,3,1,11,2,
288,1508,Saiha,288,Saiha,3,2,3,3,3,3,17,3,
289,1601,West Tripura,289,West Tripura ,3,3,3,3,3,3,18,3,
290,1602,South Tripura,290,South Tripura ,2,2,3,1,3,1,12,2,
291,1603,Dhalai,291,Dhalai,2,2,3,1,3,1,12,2,
292,1604,North Tripura,292,North Tripura,3,3,3,3,3,1,16,3,
293,1701,West Garo Hills,293,West Garo Hills,2,2,2,1,2,1,10,1,
294,1702,East Garo Hills,294,East Garo Hills,1,2,2,1,2,2,10,1,
295,1703,South Garo Hills,295,South Garo Hills,2,2,3,1,2,1,11,2,
296,1704,West Khasi Hills,296,West Khasi Hills,1,1,1,1,2,2,8,1,
297,1705,Ri-Bhoi,297,Ribhoi,2,2,1,1,2,1,9,1,
298,1706,East Khasi Hills,298,East Khasi Hills,3,3,3,3,3,3,18,3,
299,1707,West Jaintia Hills,299,Jaintia Hills,2,1,2,1,2,1,9,1,
300,1801,Kokrajhar,300,Kokrajhar,2,1,1,1,2,2,9,1,
301,1802,Dhubri,301,Dhubri,2,1,1,1,2,2,9,1,
302,1803,Goalpara,302,Goalpara,2,2,1,1,2,2,10,1,
303,1804,Barpeta,303,Barpeta,2,1,1,2,2,2,10,1,
304,1805,Morigaon,304,Morigaon,2,2,1,1,2,2,10,1,
305,1806,Nagaon,305,Nagaon,1,2,1,1,2,2,9,1,
306,1807,Sonitpur,306,Sonitpur,2,2,1,1,2,1,9,1,
307,1808,Lakhimpur,307,Lakhimpur,2,2,1,1,2,2,10,1,
308,1809,Dhemaji,308,Dhemaji,2,1,1,1,1,2,8,1,
309,1810,Tinsukia,309,Tinsukia,3,2,2,1,2,3,13,2,
310,1811,Dibrugarh,310,Dibrugarh,3,3,2,1,2,3,14,2,
311,1812,Sivasagar,311,Sivasagar,3,2,3,1,3,3,15,3,
312,1813,Jorhat,312,Jorhat,3,2,3,3,3,3,17,3,
313,1814,Golaghat,313,Golaghat,2,2,1,1,2,3,11,2,
314,1815,Karbi Anglong,314,Karbi Anglong,1,2,1,1,1,2,8,1,
315,1816,Dima Hasao,315,Dima Hasao,2,2,1,1,3,1,10,1,
316,1817,Cachar,316,Cachar,3,3,1,3,2,1,13,2,
317,1818,Karimganj,317,Karimganj,2,2,2,1,2,1,10,1,
318,1819,Hailakandi,318,Hailakandi,2,2,1,1,1,1,8,1,
319,1820,Bongaigaon,319,Bongaigaon,2,1,1,1,2,2,9,1,Chirang
321,1822,Kamrup,321,Kamrup,3,3,3,3,3,3,18,3,Kamrup Metropolitan
323,1824,Nalbari,323,Nalbari,3,3,1,3,3,3,16,3,Baksa
325,1826,Darrang,325,Darrang,2,1,1,1,2,2,9,1,Udalguri
327,1901,Darjeeling,327,Darjiling ,3,3,3,3,3,1,16,3,
