city/ town/ tehsil,district,constituency,No of factories
hoshangabad,hoshangabad,hoshangabad,1
narsinghpur,narsinghpur,hoshangabad,8
hoshiarpur,hoshiarpur,hoshiarpur,31
amraberia,howrah,howrah,2
howrah,howrah,howrah,78
bhuvanagiri,yadadri bhuvanagiri,hyderabad,4
hyderabad,hyderabad,hyderabad,161
idukki,idukki,idukki,2
munnar,idukki,idukki,1
indore,indore,indore,50
jabalpur,jabalpur,jabalpur,7
jagatsinghpur,jagatsinghpur,jagatsinghpur,2
jaipur,jaipur,jaipur,142
kotputli,jaipur,jaipur rural,1
"jajapur, jajpur ","jajapur, jajpur ",jajpur,32
jalandhar,jalandhar,jalandhar,24
bambhori pr. Chandsar,jalgaon,jalgaon,2
jalgaon,jalgaon,jalgaon,33
chittegaon,Aurangabad (MH),jalna,1
gangapur jahagir,Aurangabad (MH),jalna,4
abu road,sirohi,Jalore,8
jalore,sirohi,Jalore,2
sirohi,sirohi,Jalore,3
jalpaiguri,jalpaiguri,jalpaiguri,25
chak ratnu,Jammu,jammu,3
jammu,jammu,jammu,22
samba,samba,jammu,8
devbhoomi dwarka,devbhoomi dwarka,jamnagar,1
jamnagar,jamnagar,jamnagar,75
jamshedpur,jamshedpur,jamshedpur,40
janjgir-champa,janjgir-champa,janjgir-champa,2
jaunpur,jaunpur,jaunpur,8
jhalawar,jhalawar,jhalawar,1
baran,baran,Jhalawar-baran,6
jhansi,jhansi,jhansi,2
jhunjhunu,jhunjhunu,jhunjhunu,2
jodhpur,jodhpur,jodhpur,11
jorhat,jorhat,jorhat,3
sivasagar,sivasagar,jorhat,5
ambujanagar,junagadh,junagadh,2
gir somnath,gir somnath,junagadh,4
junagadh,junagadh,junagadh,2
sutrapada,gir somnath,junagadh,1
veraval,gir somnath,junagadh,2
bhuj,kutch,kachchh,7
"kutch, KACHCHH ","kutch, KACHCHH ",kachchh,172
kadapa,kadapa,kadapa,11
kakinada,kakinada,kakinada,1
lanjigarh,kalahandi,kalahandi,1
golaghat,golaghat,kaliabor,3
ambernath,thane,kalyan,40
ambivli,palghar ,kalyan,1
kalwe,thane,kalyan,4
chengalpattu,chengalpattu,kanchipuram,1
