CIN,COMPANY,AMOUNT,DISTRICT
U25111MH2007PTC172456,ATC TIRES PRIVATE LIMITED,5400000,MUMBAI CITY
U25111MH2007PTC172456,ATC TIRES PRIVATE LIMITED,2700000,TIRUNELVELI
U25111MH2007PTC172456,ATC TIRES PRIVATE LIMITED,700000,TIRUNELVELI
U25111MH2007PTC172456,ATC TIRES PRIVATE LIMITED,20300000,TIRUNELVELI
U25114TZ2010PLC016201,TREADSDIRECT LIMITED,3800000,COIMBATORE
U25191KL1980PTC003164,PRUDENTIAL RUBBER PVT LTD,1000000,KOTTAYAM
U25191KL1980PTC003164,PRUDENTIAL RUBBER PVT LTD,700000,KOTTAYAM
U25191KL1980PTC003164,PRUDENTIAL RUBBER PVT LTD,700000,KOTTAYAM
U25193KL1966GOI002621,HLL LIFECARE LIMITED,600000,WAYANAD
U25193KL1966GOI002621,HLL LIFECARE LIMITED,900000,WAYANAD
U25199DL2011FTC226364,ALISHA TORRENT CLOSURES (INDIA) PRIVATE LIMITED,700000,ANANTAPUR
U25199DL2011FTC226364,ALISHA TORRENT CLOSURES (INDIA) PRIVATE LIMITED,700000,ANANTAPUR
U25199KL1997PTC024585,MIDAS TREADS (INDIA) PRIVATE LIMITED,1800000,KOTTAYAM
U25199KL1998PTC012185,VEEKESY ELASTOMERS PRIVATE LIMITED,3200000,KOZHIKODE
U25199MH1983PTC030558,POLYBOND (INDIA) PVT LTD,3600000,PUNE
U25199MH1983PTC030558,POLYBOND (INDIA) PVT LTD,3700000,PUNE
U25199MH1983PTC030634,RATHI TRANSPOWER PRIVATE LIMITED,600000,PUNE
U25199MH1983PTC030634,RATHI TRANSPOWER PRIVATE LIMITED,1200000,PUNE
U25199PY1999PLC001488,UCAL POLYMER INDUSTRIES LIMITED,700000,THANJAVUR
U25199PY1999PLC001488,UCAL POLYMER INDUSTRIES LIMITED,1200000,THANJAVUR
U25199TN1963PLC004982,TTK PROTECTIVE DEVICES LIMITED,2000000,ERNAKULAM
U25199TN1990PTC019280,COASTAL RUBBER EQUIPMENT PRIVATE LIMITED,500000,CHENNAI
