PPNAME,POLNAME,CIN,COMPNAME
Indian National Congress,Kamal Nath,U74140DL2014PTC270195,MAGNUM COUNSELLORS PRIVATE LIMITED
Indian National Congress,SAMBA SIVA RAO KAVURU,U45201DL1985PTC020250,LIBRA ESTATES PRIVATE LIMITED
Indian National Congress,deora milind murli,U74900MH1991PTC060058,STAYWELL BUSINESS SUPPORT SERVICES PRIVATE LIMITED
Indian National Congress,deora milind murli,U70102MH2008PTC183485,JAINESH MEDIA & REAL ESTATE CONSULTANCY PRIVATE LIMITED
Indian National Congress,deora milind murli,U70100MH2013PTC241568,FIVE SHIPS REALTY PRIVATE LIMITED
Indian National Congress,deora milind murli,U74140MH2004PTC147132,FENDER CONSULTANTS PRIVATE LIMITED
Indian National Congress,Kalmadi Suresh,U85310DL2007PTC170572,TAJ MOTOR SPORTS PRIVATE LIMITED
Indian National Congress,Kalmadi Suresh,U60210PN1985PTC037099,SAI SERVICE PRIVATE LIMITED
Indian National Congress,Sonia Gandhi,U74999DL2010NPL210686,YOUNG INDIAN
Indian National Congress,Anand Sharma,U80220MH1999PTC121823,IMS LEARNING RESOURCES PRIVATE LIMITED
Indian National Congress,Motilal Vora,U74999DL2010NPL210686,YOUNG INDIAN
Indian National Congress,Motilal Vora,U22122DL1937PLC215943,THE ASSOCIATED JOURNALS LIMITED
Indian National Congress,Mausam Noor,U70101WB1984PTC037414,A.L.M.(REAL ESTATES) PVT.LTD.
Indian National Congress,Mausam Noor,U05002WB1982PTC035357,NOOR KUTBUL AGRO FARMING & FISHERIES PVT LTD
Indian National Congress,Deepender Singh,U22122DL1937PLC215943,THE ASSOCIATED JOURNALS LIMITED
Indian National Congress,Rahul Gandhi,U74999DL2010NPL210686,YOUNG INDIAN
Indian National Congress,Kamal Nath,U74140DL2014PTC270195,MAGNUM COUNSELLORS PRIVATE LIMITED
Indian National Congress,Sonia Gandhi,U74999DL2010NPL210686,YOUNG INDIAN
Indian National Congress,Oscar Fernandes,U74999DL2010NPL210686,YOUNG INDIAN
Indian National Congress,Oscar Fernandes,U22122DL1937PLC215943,THE ASSOCIATED JOURNALS LIMITED
Indian National Congress,Chiranjeevi (Konidala Siva Sankara Vara Prasad),U92412MH2014PTC257871,BLASTERS SPORTS VENTURES PRIVATE LIMITED
Indian National Congress,SUBBARAMI REDDY TIKKAVARAPU,U45200TG2005PTC046442,DEEP CORPORATION PRIVATE LIMITED (PART IX )
Indian National Congress,Dr. Shashi Tharoor,U45309KL2004SGC017685,VIZHINJAM INTERNATIONAL SEAPORT LIMITED
Indian National Congress,K. Rahman Khan,U74140DL2015NPL285911,INDIAN AUQAF FOUNDATION
Indian National Congress,K. Rahman Khan,U73200DL1999NPL097935,ICAI ACCOUNTING RESEARCH FOUNDATION
Indian National Congress,Motilal Vora,U74999DL2010NPL210686,YOUNG INDIAN
Indian National Congress,Motilal Vora,U22122DL1937PLC215943,THE ASSOCIATED JOURNALS LIMITED
Indian National Congress,Motilal Vora,U74999DL2010NPL210686,YOUNG INDIAN
Indian National Congress,Motilal Vora,U22122DL1937PLC215943,THE ASSOCIATED JOURNALS LIMITED
Indian National Congress,Virbhadra Singh,U74999HP2015NPL001036,HIMACHAL PRADESH KAUSHAL VIKAS NIGAM
Indian National Congress,Virbhadra Singh,U63040HP1972SGC003163,HIMACHAL PRADESH TOURISM DEVELOPMENT CORP LIMITED
Indian National Congress,Virbhadra Singh,U74999HP2015NPL001036,HIMACHAL PRADESH KAUSHAL VIKAS NIGAM
Indian National Congress,Virbhadra Singh,U63040HP1972SGC003163,HIMACHAL PRADESH TOURISM DEVELOPMENT CORP LIMITED
Indian National Congress,Oommen Chandy,U62100KL2006PLC019227,AIR KERALA INTERNATIONAL SERVICES LIMITED
Indian National Congress,Oommen Chandy,U45203KL2013SGC033389,VISION VARKALA INFRASTRUCTURE DEVELOPMENT CORPORATION LIMITED
Indian National Congress,Oommen Chandy,U45309KL2004SGC017685,VIZHINJAM INTERNATIONAL SEAPORT LIMITED
Indian National Congress,Oommen Chandy,U05000KL2007PLC021510,KERALA AQUA VENTURES INTERNATIONAL LIMITED
Indian National Congress,Oommen Chandy,U91990KL2002NPL015838,NORKA-ROOTS (SEC 25 COMPANY)
Indian National Congress,Oommen Chandy,U92132KL2005PLC018915,BHARAT BROADCASTING NETWORK LIMITED
Indian National Congress,Oommen Chandy,U63033KL2009SGC025103,KANNUR INTERNATIONAL AIRPORT LIMITED
Indian National Congress,Oommen Chandy,U63033KL1994PLC007803,COCHIN INTERNATIONAL AIRPORT LIMITED
Indian National Congress,Oommen Chandy,U60210KL2012SGC032836,KERALA RAPID TRANSIT CORPORATION LIMITED
Indian National Congress,Oommen Chandy,U62100KL2006PLC019227,AIR KERALA INTERNATIONAL SERVICES LIMITED
Indian National Congress,Oommen Chandy,U45203KL2013SGC033389,VISION VARKALA INFRASTRUCTURE DEVELOPMENT CORPORATION LIMITED
Indian National Congress,Oommen Chandy,U45309KL2004SGC017685,VIZHINJAM INTERNATIONAL SEAPORT LIMITED
Indian National Congress,Oommen Chandy,U05000KL2007PLC021510,KERALA AQUA VENTURES INTERNATIONAL LIMITED
Indian National Congress,Oommen Chandy,U91990KL2002NPL015838,NORKA-ROOTS (SEC 25 COMPANY)
Indian National Congress,Oommen Chandy,U92132KL2005PLC018915,BHARAT BROADCASTING NETWORK LIMITED
Indian National Congress,Oommen Chandy,U63033KL2009SGC025103,KANNUR INTERNATIONAL AIRPORT LIMITED
Indian National Congress,Oommen Chandy,U63033KL1994PLC007803,COCHIN INTERNATIONAL AIRPORT LIMITED
Indian National Congress,Oommen Chandy,U60210KL2012SGC032836,KERALA RAPID TRANSIT CORPORATION LIMITED
Indian National Congress,Virbhadra Singh,U74999HP2015NPL001036,HIMACHAL PRADESH KAUSHAL VIKAS NIGAM
Indian National Congress,Virbhadra Singh,U63040HP1972SGC003163,HIMACHAL PRADESH TOURISM DEVELOPMENT CORP LIMITED
Indian National Congress,Virbhadra Singh,U74999HP2015NPL001036,HIMACHAL PRADESH KAUSHAL VIKAS NIGAM
Indian National Congress,Virbhadra Singh,U63040HP1972SGC003163,HIMACHAL PRADESH TOURISM DEVELOPMENT CORP LIMITED
Jammu and Kashmir Peoples Democratic Party,Mehbooba Mufti,U40101JK1995SGC001418,JAMMU AND KASHMIR STATE POWER DEVELOPMENT CORPORATION LIMITED
Jammu and Kashmir Peoples Democratic Party,Mehbooba Mufti,U40101JK1995SGC001418,JAMMU AND KASHMIR STATE POWER DEVELOPMENT CORPORATION LIMITED
Jammu and Kashmir Peoples Democratic Party,Mehbooba Mufti,U40101JK1995SGC001418,JAMMU AND KASHMIR STATE POWER DEVELOPMENT CORPORATION LIMITED
Jharkhand Party,R. V. Mohana Reddy,L31909KA1985PLC006990,IQ INFOTECH LIMITED
Kerala Congress (M),Joy Abraham,U25194KL2002PTC015370,RUBEK BALLOONS PRIVATE LIMITED
Kerala Congress (M),Joy Abraham,U24131KL2005PTC018471,RUBBERMARK RUBBER INDUSTRIES PRIVATE LIMITED
Kerala Congress (M),Joy Abraham,U25111KL1995PLC009774,PALAZHY TYRES LIMITED
Lok Dal,Chandrajeet,U91100MH2013NPL244942,CONFEDERATION OF ATM INDUSTRY
Lok Jan Shakti Party,Srinivasan K,U40101TN1997PLC037663,LANCO TANJORE POWER COMPANY LIMITED
Nationalist Congress Party,Supriya Sule,U85300MH2008NPL185280,RVS EDUCATIONAL & CHARITABLE FOUNDATION
Nationalist Congress Party,Supriya Sule,U74140DL2004NPL125424,CENTRE FOR INTERNATIONAL TRADE IN AGRICULTURE AND AGRO BASED INDUSTRIES
Nationalist Congress Party,Supriya Sule,U65990MH1994PTC077431,RADIANT TRADEVEST PRIVATE LIMITED
Nationalist Congress Party,Supriya Sule,U22121PN1948PTC006177,SAKAL PAPERS PRIVATE LIMITED
Nationalist Congress Party,Supriya Sule,U80901MH2008NPL188611,YASHASWINI SAMAJIK ABHIYAAN
Nationalist Congress Party,Mohite Patil Vijaysinh Shankarrao,U99999DL1969GAP005106,INDIAN SUGAR EXIM CORPORATION LTD.
Nationalist Congress Party,Mohite Patil Vijaysinh Shankarrao,U70102PN2007PTC131034,NANDVIJAY FARMS & DEVELOPERS PRIVATE LIMITED
Nationalist Congress Party,Mohite Patil Vijaysinh Shankarrao,U45201PN2008PTC132212,RAN-VIJAY FARMS AND DEVELOPERS PRIVATE LIMITED
Nationalist Congress Party,Mohite Patil Vijaysinh Shankarrao,U01220PN2014PTC150816,NANDA-PRABHA AGRO FARM & DEVELOPERS PRIVATE LIMITED
Nationalist Congress Party,Dhananjay Bhimrao Mahadik,U92142PN2011PTC140850,BRI DIGITAL SERVICES PRIVATE LIMITED
Nationalist Congress Party,Dhananjay Bhimrao Mahadik,U92132PN2008PTC131620,BHIMA RIDDHI INFOTAINMENT PRIVATE LIMITED
Nationalist Congress Party,Supriya Sule,U85300MH2008NPL185280,RVS EDUCATIONAL & CHARITABLE FOUNDATION
Nationalist Congress Party,Supriya Sule,U74140DL2004NPL125424,CENTRE FOR INTERNATIONAL TRADE IN AGRICULTURE AND AGRO BASED INDUSTRIES
Nationalist Congress Party,Supriya Sule,U65990MH1994PTC077431,RADIANT TRADEVEST PRIVATE LIMITED
Nationalist Congress Party,Supriya Sule,U22121PN1948PTC006177,SAKAL PAPERS PRIVATE LIMITED
Nationalist Congress Party,Supriya Sule,U80901MH2008NPL188611,YASHASWINI SAMAJIK ABHIYAAN
Pyramid Party of India,gayathri,U35911TN1999PTC042573,UCAL AUTO PRIVATE LIMITED
Rashtriya Lok Dal,Amar Singh,U74900MH2016PLC274502,BASK FILMS CREATION LIMITED
Rashtriya Lok Dal,Amar Singh,U74899WB1987PTC133044,CHEKOPLAST (INDIA) PRIVATE LIMITED
Rashtriya Lok Dal,Amar Singh,U74210WB2006PTC111505,PANEL CONSULTANCY PRIVATE LIMITED
Rashtriya Lok Dal,Amar Singh,U65993WB1995PTC072357,SARVOTTAM CAPS PRIVATE LIMITED
Rashtriya Lok Dal,Amar Singh,U51109WB1996PTC078922,STARTRACK VINIMAY PVT LTD
Rashtriya Lok Dal,Amar Singh,U45201WB2010PTC140594,FAIRLAND PROJECTS PRIVATE LIMITED
Rashtriya Lok Dal,Amar Singh,U45201WB1990PTC097543,MAITRI ESTATES PRIVATE LIMITED
Rashtriya Lok Dal,Amar Singh,U40101WB2010PTC152528,EDCL - TAWANG POWER PRIVATE LIMITED
Rashtriya Lok Dal,Amar Singh,U40104WB2010PTC152829,EDCL - ARUNACHAL HYDRO PROJECT PRIVATE LIMITED
Rashtriya Lok Dal,Amar Singh,U40105WB2010PTC152524,EDCL - SEPPA PACHUK POWER PRIVATE LIMITED
Rashtriya Lok Dal,Amar Singh,U51109WB1993PTC057957,STERLITE MERCHANTS PVT. LTD.
Rashtriya Lok Dal,Amar Singh,L85110KA1995PLC017003,ENERGY DEVELOPMENT COMPANY LIMITED
Rashtriya Lok Dal,Amar Singh,U40101WB2010PTC152525,EDCL - SEPPA LADA HYDRO ELECTRIC PRIVATE LIMITED
Rashtriya Lok Dal,Amar Singh,U40101WB2010PTC152526,EDCL - SEPPA DUNKHO HYDRO ELECTRIC PRIVATE LIMITED
Rashtriya Lok Dal,Amar Singh,U74899DL1995PTC064930,OGAAN PUBLICATIONS PRIVATE LIMITED
Rashtriya Lok Samta Party,Dr. Arun Kumar,U74899DL1987GOI027481,INTELLIGENT COMMUNICATION SYSTEMS INDIA LIMITED
Samajwadi Party,Amar Singh,U74900MH2016PLC274502,BASK FILMS CREATION LIMITED
Samajwadi Party,Amar Singh,U74899WB1987PTC133044,CHEKOPLAST (INDIA) PRIVATE LIMITED
Samajwadi Party,Amar Singh,U74210WB2006PTC111505,PANEL CONSULTANCY PRIVATE LIMITED
Samajwadi Party,Amar Singh,U65993WB1995PTC072357,SARVOTTAM CAPS PRIVATE LIMITED
Samajwadi Party,Amar Singh,U51109WB1996PTC078922,STARTRACK VINIMAY PVT LTD
Samajwadi Party,Amar Singh,U45201WB2010PTC140594,FAIRLAND PROJECTS PRIVATE LIMITED
Samajwadi Party,Amar Singh,U45201WB1990PTC097543,MAITRI ESTATES PRIVATE LIMITED
Samajwadi Party,Amar Singh,U40101WB2010PTC152528,EDCL - TAWANG POWER PRIVATE LIMITED
Samajwadi Party,Amar Singh,U40104WB2010PTC152829,EDCL - ARUNACHAL HYDRO PROJECT PRIVATE LIMITED
Samajwadi Party,Amar Singh,U40105WB2010PTC152524,EDCL - SEPPA PACHUK POWER PRIVATE LIMITED
Samajwadi Party,Amar Singh,U51109WB1993PTC057957,STERLITE MERCHANTS PVT. LTD.
Samajwadi Party,Amar Singh,L85110KA1995PLC017003,ENERGY DEVELOPMENT COMPANY LIMITED
Samajwadi Party,Amar Singh,U40101WB2010PTC152525,EDCL - SEPPA LADA HYDRO ELECTRIC PRIVATE LIMITED
Samajwadi Party,Amar Singh,U40101WB2010PTC152526,EDCL - SEPPA DUNKHO HYDRO ELECTRIC PRIVATE LIMITED
Samajwadi Party,Amar Singh,U74899DL1995PTC064930,OGAAN PUBLICATIONS PRIVATE LIMITED
Samajwadi Party,Jaya Bachchan,U99999MH1987PLC042097,AB CORP LIMITED
Samajwadi Party,SANJAY SETH,U55110UP2003PTC027466,G B LAWNS PRIVATE LIMITED
Samajwadi Party,SANJAY SETH,U45400DL2010PTC204945,PRESTIGE INFRACON PRIVATE LIMITED
Sarva Samaj Kalyan Party,sandeep kumar,U65910DL1983SGC015095,DELHI SC/ST/OBC/MINORITIES AND HANDICAPPED FINANCI AL AND DEVELOPMENT CORPORATION LIMITED
Shiromani Akali Dal,Naresh Gujral,U74899DL1991PTC046624,SPAN FREIGHT PRIVATE LIMITED
Shiromani Akali Dal,Naresh Gujral,U74899DL1990PTC041459,FLAIR EXPORTS PVT LTD
Shiromani Akali Dal,Naresh Gujral,U74899DL1989PTC036829,HILL DEVELOPERS PRIVATE LIMITED
Shiromani Akali Dal,Naresh Gujral,U74899DL1988PTC034333,SPAN HOLDINGS PRIVATE LTD.
Shiromani Akali Dal,Naresh Gujral,U74899DL1983PTC016193,SOUTH EAST FASHIONS PRIVATE LIMITED
Shiromani Akali Dal,Naresh Gujral,U74899DL1977PTC008672,SPAN INDIA PVT LTD
Shiromani Akali Dal,Naresh Gujral,U67120DL2005PTC138967,POSITIVE SECURITIES PRIVATE LIMITED
Shiromani Akali Dal,Naresh Gujral,U51311DL2004PTC128998,ADVANTAGE FASHIONS PRIVATE LIMITED
Shiromani Akali Dal,Naresh Gujral,U45201DL2003PTC123261,STALLION HOUSINGS PRIVATE LIMITED
Shiromani Akali Dal,Naresh Gujral,L51434WB1923PLC004793,BERGER PAINTS INDIA LIMITED
Shiv Sena,Rajkumar Dhoot,U70101MH1994PTC167834,DEVANT PROPERTIES AND INVESTMENTS PRIVATE LIMITED
Telangana Rashtra Samithi,Konda Vishweshwar Reddy,U92419TG2004PTC043648,ADVENTURE TRAILS INDIA PRIVATE LIMITED
Telangana Rashtra Samithi,Konda Vishweshwar Reddy,U85110TG1998PTC029297,CITADEL RESEARCH AND SOLUTIONS PRIVATE LIMITED
Telangana Rashtra Samithi,Konda Vishweshwar Reddy,U34103TG2007PTC055244,M3 MOTORS (INDIA) PRIVATE LIMITED
Telangana Rashtra Samithi,Konda Vishweshwar Reddy,U01122TG2006PTC050845,CITADEL AGRO PRIVATE LIMITED
Telangana Rashtra Samithi,Konda Vishweshwar Reddy,U74900TG2010PTC067633,ELIXIR COMMUNITIES PRIVATE LIMITED
Telangana Rashtra Samithi,Konda Vishweshwar Reddy,U74900TG2009PTC065270,BRIDGE PROMOTERS PRIVATE LIMITED
Telangana Rashtra Samithi,Konda Vishweshwar Reddy,U40108TG2010PTC070749,AVV TURBINES PRIVATE LIMITED
Telangana Rashtra Samithi,Konda Vishweshwar Reddy,U64202TN2000PTC045255,SAFFRON SOLUTIONS PRIVATE LIMITED
Telangana Rashtra Samithi,Konda Vishweshwar Reddy,U34102TG2006PTC049981,KAR MOTORS PRIVATE LIMITED
Telangana Rashtra Samithi,Konda Vishweshwar Reddy,U35999TG2006PTC049985,KAR AUTO PRIVATE LIMITED
Telangana Rashtra Samithi,Konda Vishweshwar Reddy,U15410TG2010PTC067695,APOLLO HEALTH FOODS PRIVATE LIMITED
Telangana Rashtra Samithi,Konda Vishweshwar Reddy,U33110TG1993PLC015859,STEPHAN DESIGN & ENGINEERING LIMITED
Telangana Rashtra Samithi,Konda Vishweshwar Reddy,U01403TG2006PLC048992,CHEVELLA FARMS LIMITED
Telangana Rashtra Samithi,Konda Vishweshwar Reddy,U74899DL2000PLC104726,EMEDLIFE INSURANCE BROKING SERVICES LIMITED
Telugu Desam,YALAMANCHILI SATYANARAYANA CHOWDARY,U74999TN2010PLC077070,SUJANA PORTS LIMITED
Telugu Desam,YALAMANCHILI SATYANARAYANA CHOWDARY,U74140TG2005PTC045900,YS CONSULTANCY SERVICES PRIVATE LIMITED
Telugu Desam,YALAMANCHILI SATYANARAYANA CHOWDARY,U55101KA2010PLC055236,ESTEEM HOTELS LIMITED
Telugu Desam,YALAMANCHILI SATYANARAYANA CHOWDARY,U40109TG2008PLC060399,SUJANA TRANSMISSIONS LIMITED
Telugu Desam,GALLA JAYADEV,U92412TG2015PTC102234,AMARA RAJA MEDIA AND ENTERTAINMENT PRIVATE LIMITED
Telugu Desam,GALLA JAYADEV,L31402AP1985PLC005305,AMARA RAJA BATTERIES LIMITED
Telugu Desam,GALLA JAYADEV,U93000AP2009PTC064031,AMARA RAJA INDUSTRIAL SERVICES PRIVATE LIMITED
Telugu Desam,GALLA JAYADEV,U74990AP2008PTC057464,AMARON BATTERIES PRIVATE LIMITED
Telugu Desam,GALLA JAYADEV,U65993AP2010PTC066519,RNGALLA FAMILY HOLDINGS PRIVATE LIMITED
Telugu Desam,GALLA JAYADEV,U45209TG2013PTC088072,NINE NINES LIFESTYLE PRIVATE LIMITED
Telugu Desam,GALLA JAYADEV,U40102AP2008PTC059398,AMARA RAJA INFRA PRIVATE LIMITED
Telugu Desam,GALLA JAYADEV,U31102AP1984PLC005165,AMARA RAJA POWER SYSTEMS LIMITED
Telugu Desam,GALLA JAYADEV,U31402AP1999PLC032257,AMARA RAJA ELECTRONICS LIMITED
Telugu Desam,GALLA JAYADEV,U15122AP1990PLC011932,MANGAL INDUSTRIES LIMITED
Telugu Desam,GALLA JAYADEV,U15134AP2004PLC042852,GALLA FOODS LIMITED
Telugu Desam,GALLA JAYADEV,L31402AP1985PLC005305,AMARA RAJA BATTERIES LIMITED
Ulzaipali Makkal Katchy,balasubramani.r,U52599TN1991PTC020361,FINANCIAL SOFTWARE AND SYSTEMS PRIVATE LIMITED
