CIN,COMPANY NAME,AREA,BU%,RUE%,DISTRICT,State,Constituency,Type,Margin,isMPMinister,centerAlignment,stateAlignment,not_aligned,rs_min_mplad_district,is_backward,non_backward,ministry_comp_intersection,ADI,AmountFinal,FactoriesFinal,csrAmountInvested
U37200GJ2011PTC068339,ARVIND ENVISOL PRIVATE LIMITED,2,7.9669221460266195,100,kolhapur,MAHARASHTRA,KOLHAPUR,GEN,2.6,0,0,0,1,0,0,1,0,18,159000000,55,0
U37200GJ2011PTC068339,ARVIND ENVISOL PRIVATE LIMITED,5,2.92318588629193,100,kolhapur,MAHARASHTRA,KOLHAPUR,GEN,2.6,0,0,0,1,0,0,1,0,18,159000000,55,0
U37200GJ2011PTC068339,ARVIND ENVISOL PRIVATE LIMITED,10,1.3606210759074802,100,kolhapur,MAHARASHTRA,KOLHAPUR,GEN,2.6,0,0,0,1,0,0,1,0,18,159000000,55,0
U45201GJ2008PLC055771,ARVIND INFRASTRUCTURE LIMITED,2,7.9669221460266195,100,kolhapur,MAHARASHTRA,KOLHAPUR,GEN,2.6,0,0,0,1,0,0,1,0,18,159000000,55,0
U45201GJ2008PLC055771,ARVIND INFRASTRUCTURE LIMITED,5,2.92318588629193,100,kolhapur,MAHARASHTRA,KOLHAPUR,GEN,2.6,0,0,0,1,0,0,1,0,18,159000000,55,0
U45201GJ2008PLC055771,ARVIND INFRASTRUCTURE LIMITED,10,1.3606210759074802,100,kolhapur,MAHARASHTRA,KOLHAPUR,GEN,2.6,0,0,0,1,0,0,1,0,18,159000000,55,0
U51109UR1990PTC011558,ARVIND AND COMPANY PRIVATE LIMITED,2,7.9669221460266195,100,kolhapur,MAHARASHTRA,KOLHAPUR,GEN,2.6,0,0,0,1,0,0,1,0,18,159000000,55,0
U51109UR1990PTC011558,ARVIND AND COMPANY PRIVATE LIMITED,5,2.92318588629193,100,kolhapur,MAHARASHTRA,KOLHAPUR,GEN,2.6,0,0,0,1,0,0,1,0,18,159000000,55,0
U51109UR1990PTC011558,ARVIND AND COMPANY PRIVATE LIMITED,10,1.3606210759074802,100,kolhapur,MAHARASHTRA,KOLHAPUR,GEN,2.6,0,0,0,1,0,0,1,0,18,159000000,55,0
U51909WB1994PLC065631,ARVIND COMMODITIES LIMITED,2,7.9669221460266195,100,kolhapur,MAHARASHTRA,KOLHAPUR,GEN,2.6,0,0,0,1,0,0,1,0,18,159000000,55,0
U51909WB1994PLC065631,ARVIND COMMODITIES LIMITED,5,2.92318588629193,100,kolhapur,MAHARASHTRA,KOLHAPUR,GEN,2.6,0,0,0,1,0,0,1,0,18,159000000,55,0
U51909WB1994PLC065631,ARVIND COMMODITIES LIMITED,10,1.3606210759074802,100,kolhapur,MAHARASHTRA,KOLHAPUR,GEN,2.6,0,0,0,1,0,0,1,0,18,159000000,55,0
U52609GJ2007PLC051974,ARVIND BRANDS & RETAIL LIMITED,2,7.9669221460266195,100,kolhapur,MAHARASHTRA,KOLHAPUR,GEN,2.6,0,0,0,1,0,0,1,0,18,159000000,55,0
U52609GJ2007PLC051974,ARVIND BRANDS & RETAIL LIMITED,5,2.92318588629193,100,kolhapur,MAHARASHTRA,KOLHAPUR,GEN,2.6,0,0,0,1,0,0,1,0,18,159000000,55,0
U52609GJ2007PLC051974,ARVIND BRANDS & RETAIL LIMITED,10,1.3606210759074802,100,kolhapur,MAHARASHTRA,KOLHAPUR,GEN,2.6,0,0,0,1,0,0,1,0,18,159000000,55,0
U64201GJ1995PLC024598,ARVIND LIFESTYLE BRANDS LIMITED,2,7.9669221460266195,100,kolhapur,MAHARASHTRA,KOLHAPUR,GEN,2.6,0,0,0,1,0,0,1,0,18,159000000,55,0
U64201GJ1995PLC024598,ARVIND LIFESTYLE BRANDS LIMITED,5,2.92318588629193,100,kolhapur,MAHARASHTRA,KOLHAPUR,GEN,2.6,0,0,0,1,0,0,1,0,18,159000000,55,0
U64201GJ1995PLC024598,ARVIND LIFESTYLE BRANDS LIMITED,10,1.3606210759074802,100,kolhapur,MAHARASHTRA,KOLHAPUR,GEN,2.6,0,0,0,1,0,0,1,0,18,159000000,55,0
U65910GJ1994PLC022721,ARVIND BRANDS LIMITED,2,7.9669221460266195,100,kolhapur,MAHARASHTRA,KOLHAPUR,GEN,2.6,0,0,0,1,0,0,1,0,18,159000000,55,0
U65910GJ1994PLC022721,ARVIND BRANDS LIMITED,5,2.92318588629193,100,kolhapur,MAHARASHTRA,KOLHAPUR,GEN,2.6,0,0,0,1,0,0,1,0,18,159000000,55,0
U65910GJ1994PLC022721,ARVIND BRANDS LIMITED,10,1.3606210759074802,100,kolhapur,MAHARASHTRA,KOLHAPUR,GEN,2.6,0,0,0,1,0,0,1,0,18,159000000,55,0
U72400GJ2013PLC074576,ARVIND INTERNET LIMITED,2,7.9669221460266195,100,kolhapur,MAHARASHTRA,KOLHAPUR,GEN,2.6,0,0,0,1,0,0,1,0,18,159000000,55,0
U72400GJ2013PLC074576,ARVIND INTERNET LIMITED,5,2.92318588629193,100,kolhapur,MAHARASHTRA,KOLHAPUR,GEN,2.6,0,0,0,1,0,0,1,0,18,159000000,55,0
U72400GJ2013PLC074576,ARVIND INTERNET LIMITED,10,1.3606210759074802,100,kolhapur,MAHARASHTRA,KOLHAPUR,GEN,2.6,0,0,0,1,0,0,1,0,18,159000000,55,0
U99999DL1978PTC008855,ARVIND TECHNO ENGINEERS PRIVATE LIMITED,2,7.9669221460266195,100,kolhapur,MAHARASHTRA,KOLHAPUR,GEN,2.6,0,0,0,1,0,0,1,0,18,159000000,55,0
U99999DL1978PTC008855,ARVIND TECHNO ENGINEERS PRIVATE LIMITED,5,2.92318588629193,100,kolhapur,MAHARASHTRA,KOLHAPUR,GEN,2.6,0,0,0,1,0,0,1,0,18,159000000,55,0
U99999DL1978PTC008855,ARVIND TECHNO ENGINEERS PRIVATE LIMITED,10,1.3606210759074802,100,kolhapur,MAHARASHTRA,KOLHAPUR,GEN,2.6,0,0,0,1,0,0,1,0,18,159000000,55,0
L17115TZ1989PLC002491,GANGOTRI TEXTILES LIMITED,2,0.06142506142506201,100,kolhapur,MAHARASHTRA,KOLHAPUR,GEN,2.6,0,0,0,1,0,0,1,0,18,159000000,55,0
