CIN,COMPNAME,PPNAME,CC
L17226WB1946PLC013554,EASTERN SILK INDUSTRIES LIMITED,Bharatiya Janta Party,1
U24298TN2009PTC072270,ARCHEAN CHEMICAL INDUSTRIES PRIVATE LIMITED,Bharatiya Janta Party,1
U36991MH1994PLC083255,FLAIR PENS LIMITED,Bharatiya Janta Party,1
U11204MH2004PLC147217,SKY APPLIANCES LIMITED,Bharatiya Janta Party,1
U24210GJ1985PTC007569,AGROCEL INDUSTRIES PRIVATE LIMITED,Bharatiya Janta Party,1
U74899DL1981PTC011949,TRAK SERVICES PVT LTD,Bharatiya Janta Party,1
L17120MH1981PLC023900,BLUE BLENDS (INDIA) LIMITED,Bharatiya Janta Party,1
L23109WB1960PLC024602,PHILLIPS CARBON BLACK LTD,Bharatiya Janta Party,1
U24231MH1988PLC193588,AGARWAL INFRATECH LIMITED.,Bharatiya Janta Party,1
L51909DL1984PLC019623,SINDHU TRADE LINKS LIMITED,Bharatiya Janta Party,1
U24134KL1990PTC005761,PARAGON POLYMER PRODUCTS PRIVATE LIMITED,Bharatiya Janta Party,1
L99999MH1997PLC107153,UNITY INFRAPROJECTS LIMITED,Bharatiya Janta Party,1
U65910DL1983PLC015912,DEEKSHA HOLDING LIMITED,Bharatiya Janta Party,1
U62100MH1999PTC117985,GARUDA AVIATION SERVICES PRIVATE LIMITED,Bharatiya Janta Party,1
U45200MH1981PLC023708,HDFC DEVELOPERS LIMITED,Bharatiya Janta Party,1
U45201DL2004PTC129188,ANSAL LANDMARK TOWNSHIPS PRIVATE LIMITED,Bharatiya Janta Party,1
U74996DL2006PTC150099,GREEN VALLEY BIO- ENERGY PRIVATE LIMITED,Bharatiya Janta Party,1
U24249MH1992PTC068971,ANCHOR HEALTH AND BEAUTY CARE PVT LTD,Bharatiya Janta Party,1
U24118WB1992PLC055994,ACME CHEM LTD,Bharatiya Janta Party,1
U17120GJ2009PTC056749,ATLANTIS PRODUCTS PRIVATE LIMITED,Bharatiya Janta Party,1
U74140KA2001PTC029678,MANIPAL GLOBAL EDUCATION SERVICES PRIVATE LIMITED,Bharatiya Janta Party,1
L65991DL1996PLC083909,INSECTICIDES (INDIA) LIMITED,Bharatiya Janta Party,1
U27100JH1971PLC000912,BIHAR FOUNDRY & CASTINGS LIMITED,Bharatiya Janta Party,1
U74900MH2014NPL256466,JANTA NIRVACHAK ELECTORAL TRUST,Bharatiya Janta Party,1
