,Unnamed: 0,Constituency,state,Type,Margin %,isMPMinister,centerAlignment,stateAlignment,rs_min_mplad_district,is_backward,ministry_comp_intersection,amount,non_backward,not_aligned,Total,Totalcsr
70,70,BARDHAMAN PURBA,WEST BENGAL,SC,8.7,0.0,0,1,0,0,0,0,1,0,24,0.0
71,71,BARDHAMAN-DURGAPUR,WEST BENGAL,GEN,8.1,0.0,0,1,0,0,0,0,1,0,34,0.0
72,72,BARDOLI,GUJARAT,ST,10.3,0.0,1,1,0,0,0,22600000000,1,0,340,6.0
73,73,BAREILLY,UTTAR PRADESH,GEN,23.6,1.0,1,0,0,0,0,250000000,1,0,16,0.0
74,74,BARGARH,ODISHA,GEN,1.0,0.0,0,1,0,0,0,1550000000,1,0,3,0.0
75,75,BARMER,RAJASTHAN,GEN,7.2,0.0,1,1,0,1,0,12360000000,0,0,43,0.0
76,76,BARPETA,ASSAM,GEN,3.5,0.0,0,0,0,1,0,190000000,0,1,11,0.0
77,77,BARRACKPUR,WEST BENGAL,GEN,19.7,0.0,0,1,0,0,0,240000000,1,0,38,0.0
78,78,BASIRHAT,WEST BENGAL,GEN,8.6,0.0,0,1,0,0,0,240000000,1,0,38,0.0
79,79,BASTAR,CHHATTISGARH,ST,16.2,0.0,1,1,0,1,0,360000000,0,0,0,0.0
80,80,BASTI,UTTAR PRADESH,GEN,3.2,0.0,1,0,0,0,0,0,1,0,1,0.0
81,81,BATHINDA,PUNJAB,GEN,1.6,1.0,1,1,0,0,0,2600000000,1,0,9,0.0
82,82,BEED,MAHARASHTRA,GEN,11.1,0.0,1,1,0,0,0,0,1,0,5,0.0
83,83,BEGUSARAI,BIHAR,GEN,5.4,0.0,1,1,0,1,0,100000000,0,0,2,0.0
84,84,BELGAUM,KARNATAKA,GEN,7.0,0.0,1,0,0,0,0,380000000,1,0,33,1.0
85,85,BELLARY,KARNATAKA,ST,8.1,0.0,1,0,0,0,0,2010000000,1,0,20,2.0
86,86,BERHAMPUR,ODISHA,GEN,14.1,0.0,0,1,0,1,0,600000000,0,0,7,0.0
87,87,BETUL,MADHYA PRADESH,ST,31.4,0.0,1,1,0,1,0,4090000000,0,0,1,0.0
88,88,BHADOHI,UTTAR PRADESH,GEN,16.1,0.0,1,0,0,0,0,630000000,1,0,0,0.0
89,89,BHADRAK,ODISHA,SC,16.6,0.0,0,1,0,0,0,1020000000,1,0,6,1.0
90,90,BHAGALPUR,BIHAR,GEN,1.0,0.0,0,0,0,0,0,0,1,1,10,0.0
