,company,CIN,Constituency,state,district,Party,Winning Candidate,LokSabha_Ministry,LokSabha_MinCode,rs_min_name,rs_min_ministry,ministriesInfluenced,buss_sector,amount
227,UNITED DECORATIVES PVT LTD,U74899DL1984PTC019362,GHAZIABAD,UTTAR PRADESH,GHAZIABAD,Bharatiya Janta Party,Vijay Kumar Singh,"['Statistics and Programme Implementation (Independent Charge)', 'External Affairs', 'Overseas Indian Affairs']","[44.0, 28.0, 28.0]",[],[],"[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,"800,000.00"
228,SPECTRA PRODUCTS PRIVATE LIMITED,U74899DL1991PTC046647,GHAZIABAD,UTTAR PRADESH,GHAZIABAD,Bharatiya Janta Party,Vijay Kumar Singh,"['Statistics and Programme Implementation (Independent Charge)', 'External Affairs', 'Overseas Indian Affairs']","[44.0, 28.0, 28.0]",[],[],"[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,"600,000.00"
229,ULTRA INTERNATIONAL LIMITED,U74899DL1978PLC008854,GHAZIABAD,UTTAR PRADESH,GHAZIABAD,Bharatiya Janta Party,Vijay Kumar Singh,"['Statistics and Programme Implementation (Independent Charge)', 'External Affairs', 'Overseas Indian Affairs']","[44.0, 28.0, 28.0]",[],[],"[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,"200,000.00"
230,FAST MOVERS LOGISTICS PRIVATE LIMITED,U63090DL2011PTC218011,GHAZIPUR,UTTAR PRADESH,GHAZIPUR,Bharatiya Janta Party,Manoj Sinha,['Railways'],[50.0],[],[],"[15, 16, 20, 21, 24, 32, 33, 35, 36, 37, 50]","Transport, storage and Communications","700,000.00"
231,PTC INDUSTRIES LIMITED,L27109UP1963PLC002931,LUCKNOW,UTTAR PRADESH,LUCKNOW,Bharatiya Janta Party,Raj Nath Singh,['Home Affairs'],[33.0],[],[],"[4, 9, 16, 20, 21, 24, 33, 34, 37, 41, 42, 46]","Manufacturing (Metals & Chemicals, and products thereof)","1,400,000.00"
232,IKM INVESTORS PRIVATE LIMITED,U74899HR1995PTC041680,LUCKNOW,UTTAR PRADESH,LUCKNOW,Bharatiya Janta Party,Raj Nath Singh,['Home Affairs'],[33.0],[],[],"[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,"1,100,000.00"
233,DSP BLACKROCK INVESTMENT MANAGERS PRIVATE LIMITED,U74140MH1996PTC099483,LUCKNOW,UTTAR PRADESH,LUCKNOW,Bharatiya Janta Party,Raj Nath Singh,['Home Affairs'],[33.0],[],[],"[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,"1,000,000.00"
234,OMIDYAR NETWORK INDIA ADVISORS PRIVATE LIMITED,U93000MH2009PTC196403,LUCKNOW,UTTAR PRADESH,LUCKNOW,Bharatiya Janta Party,Raj Nath Singh,['Home Affairs'],[33.0],[],[],"[1, 2, 3, 5, 7, 8, 16, 20, 21, 24, 28, 33, 39, 42, 46, 48, 49]","Community, personal & Social Services","300,000.00"
235,RADICO KHAITAN LIMITED,L26941UP1983PLC027278,LUCKNOW,UTTAR PRADESH,LUCKNOW,Bharatiya Janta Party,Raj Nath Singh,['Home Affairs'],[33.0],[],[],"[4, 9, 16, 20, 21, 24, 33, 34, 37, 41, 42, 46]","Manufacturing (Metals & Chemicals, and products thereof)","200,000.00"
236,BRIJWASI BULLIONS AND JEWELLERS PRIVATE LIMITED (TRANSFERED FROM UP),U92199DL2002PTC148186,LUCKNOW,UTTAR PRADESH,LUCKNOW,Bharatiya Janta Party,Raj Nath Singh,['Home Affairs'],[33.0],[],[],"[1, 2, 3, 5, 7, 8, 16, 20, 21, 24, 28, 33, 39, 42, 46, 48, 49]","Community, personal & Social Services","200,000.00"
237,HOUSING AND URBAN DEVELOPMENT CORPORATION LIMITED,U74899DL1970GOI005276,LUCKNOW,UTTAR PRADESH,LUCKNOW,Bharatiya Janta Party,Raj Nath Singh,['Home Affairs'],[33.0],[],[],"[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,0.00
238,TATA TOYO RADIATOR LIMITED,U99999PN1997PLC110139,LUCKNOW,UTTAR PRADESH,LUCKNOW,Bharatiya Janta Party,Raj Nath Singh,['Home Affairs'],[33.0],[],[],"[1, 2, 6, 8, 9, 11, 16, 19, 20, 21, 23, 24, 27, 28, 32, 33, 37, 40, 46]",Others,0.00
239,PODDAR HOUSING AND DEVELOPMENT LIMITED,L51909MH1982PLC143066,MUZAFFARNAGAR,UTTAR PRADESH,MEERUT,Bharatiya Janta Party,(DR.) SANJEEV KUMAR BALYAN,['Agriculture'],[37.0],[],[],"[9, 11, 12, 16, 20, 21, 24, 26, 27, 28, 30, 31, 32, 34, 37, 41]",Trading,"1,800,000.00"
240,J K TECHNOSOFT LIMITED,U64202DL1988PLC030870,MUZAFFARNAGAR,UTTAR PRADESH,MEERUT,Bharatiya Janta Party,(DR.) SANJEEV KUMAR BALYAN,['Agriculture'],[37.0],[],[],"[15, 16, 20, 21, 24, 32, 33, 35, 36, 37, 50]","Transport, storage and Communications","1,500,000.00"
241,KANGAROO KIDS EDUCATION LIMITED,U99999MH2001PLC134339,MUZAFFARNAGAR,UTTAR PRADESH,MEERUT,Bharatiya Janta Party,(DR.) SANJEEV KUMAR BALYAN,['Agriculture'],[37.0],[],[],"[1, 2, 6, 8, 9, 11, 16, 19, 20, 21, 23, 24, 27, 28, 32, 33, 37, 40, 46]",Others,"500,000.00"
242,DISTANT HORIZON ORCHARD PVT LTD,U74899WB1991PTC117430,VARANASI,UTTAR PRADESH,VARANASI,Bharatiya Janta Party,Narendra Modi,"['Personnel, Public Grievances and Pensions', 'Department of Atomic Energy', 'Department of Space']",[8.0],[],[],"[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,"700,000.00"
243,THE PEERLESS GENERAL FINANCE & INVESTMENT CO LTD,U66010WB1932PLC007490,VARANASI,UTTAR PRADESH,VARANASI,Bharatiya Janta Party,Narendra Modi,"['Personnel, Public Grievances and Pensions', 'Department of Atomic Energy', 'Department of Space']",[8.0],[],[],"[1, 8, 16, 20, 21, 24, 32]",Insurance,"100,000.00"
